NA_1555 	 objective
NA_8152 	 positive
NA_8422 	 positive
NA_1016 	 objective
NA_T15111982 	 positive
NA_8107 	 negative
NA_4731 	 objective
NA_8822 	 positive
NA_7380 	 objective
NA_5469 	 objective
NA_4245 	 positive
NA_6724 	 positive
NA_2449 	 positive
NA_4402 	 positive
NA_7104 	 neutral
NA_1289 	 positive
NA_6071 	 positive
NA_5041 	 negative
NA_42 	 objective
NA_T15112974 	 positive
NA_5170 	 objective
NA_6755 	 negative
NA_T15114165 	 objective
NA_T15112098 	 objective
NA_5919 	 positive
NA_5245 	 negative
NA_6959 	 objective
NA_911 	 objective
NA_7654 	 objective
NA_6987 	 positive
NA_8192 	 objective
NA_T15115485 	 positive
NA_3329 	 objective
NA_8134 	 neutral
NA_2877 	 positive
NA_5177 	 objective
NA_5579 	 neutral
NA_T15115290 	 positive
NA_3142 	 neutral
NA_8863 	 neutral
NA_859 	 objective
NA_8282 	 objective
NA_T15112988 	 objective
NA_5422 	 neutral
NA_8474 	 neutral
NA_5017 	 negative
NA_1390 	 objective
NA_4769 	 positive
NA_281 	 objective
NA_337 	 negative
NA_1332 	 positive
NA_T15111712 	 positive
NA_8454 	 positive
NA_3389 	 objective
NA_232 	 positive
NA_T15116154 	 positive
NA_3566 	 objective
NA_3964 	 negative
NA_858 	 objective
NA_T15112503 	 positive
NA_6672 	 neutral
NA_3969 	 negative
NA_4809 	 negative
NA_T15112770 	 positive
NA_8608 	 positive
NA_8737 	 neutral
NA_T15113972 	 objective
NA_2530 	 negative
NA_1061 	 neutral
NA_T15114958 	 objective
NA_7727 	 positive
NA_3398 	 negative
NA_132 	 negative
NA_T15114504 	 objective
NA_7420 	 positive
NA_3586 	 positive
NA_8951 	 objective
NA_4877 	 negative
NA_8126 	 objective
NA_5135 	 positive
NA_T15115247 	 objective
NA_5191 	 neutral
NA_T15113258 	 neutral
NA_T15112458 	 neutral
NA_4519 	 negative
NA_8814 	 positive
NA_7114 	 positive
NA_7573 	 objective
NA_7304 	 positive
NA_T15114425 	 objective
NA_4357 	 negative
NA_645 	 objective
NA_5652 	 positive
NA_526 	 positive
NA_173 	 positive
NA_T15115404 	 objective
NA_8199 	 positive
NA_T15113261 	 objective
NA_1397 	 objective
NA_6654 	 neutral
NA_T15115413 	 positive
NA_8263 	 positive
NA_5542 	 negative
NA_T15114426 	 negative
NA_T15111448 	 positive
NA_7462 	 positive
NA_7728 	 objective
NA_3066 	 objective
NA_4030 	 objective
NA_6704 	 negative
NA_3563 	 objective
NA_2766 	 objective
NA_6106 	 positive
NA_4784 	 positive
NA_6053 	 objective
NA_1652 	 negative
NA_4301 	 neutral
NA_T15112311 	 negative
NA_1938 	 objective
NA_4052 	 neutral
NA_4563 	 positive
NA_8099 	 objective
NA_T15115353 	 neutral
NA_1360 	 positive
NA_7898 	 positive
NA_6351 	 positive
NA_T15114308 	 positive
NA_T15111344 	 positive
NA_255 	 positive
NA_8232 	 objective
NA_T15111867 	 objective
NA_7682 	 objective
NA_T15115826 	 positive
NA_T15111613 	 negative
NA_4173 	 positive
NA_2305 	 positive
NA_2730 	 positive
NA_T15116051 	 neutral
NA_2579 	 positive
NA_5012 	 objective
NA_1220 	 objective
NA_1077 	 neutral
NA_6395 	 neutral
NA_T15114473 	 objective
NA_8623 	 objective
NA_3707 	 objective
NA_8501 	 positive
NA_T15115095 	 neutral
NA_T15112069 	 objective
NA_7813 	 objective
NA_1965 	 negative
NA_1476 	 positive
NA_651 	 positive
NA_6710 	 positive
NA_2040 	 positive
NA_T15116044 	 positive
NA_4217 	 objective
NA_5084 	 negative
NA_T15111794 	 objective
NA_T15115206 	 objective
NA_T15112696 	 objective
NA_T15111617 	 positive
NA_6155 	 neutral
NA_7622 	 objective
NA_T15115073 	 negative
NA_2266 	 objective
NA_T15114052 	 neutral
NA_1528 	 positive
NA_4466 	 neutral
NA_8869 	 positive
NA_T15111932 	 negative
NA_T15112776 	 objective
NA_6801 	 objective
NA_5855 	 positive
NA_7832 	 positive
NA_8335 	 positive
NA_196 	 negative
NA_3139 	 objective
NA_988 	 objective
NA_5146 	 neutral
NA_T15111492 	 positive
NA_T15113302 	 objective
NA_1120 	 objective
NA_5846 	 positive
NA_6671 	 positive
NA_4260 	 neutral
NA_8952 	 neutral
NA_3830 	 objective
NA_T15112155 	 positive
NA_1253 	 positive
NA_8931 	 positive
NA_671 	 objective
NA_6509 	 objective
NA_2634 	 objective
NA_T15113039 	 objective
NA_6820 	 objective
NA_T15111357 	 neutral
NA_4578 	 objective
NA_T15114541 	 objective
NA_7082 	 neutral
NA_240 	 positive
NA_1918 	 neutral
NA_T15113284 	 neutral
NA_2408 	 objective
NA_5721 	 negative
NA_T15116036 	 positive
NA_8600 	 neutral
NA_6717 	 neutral
NA_T15113421 	 positive
NA_7513 	 positive
NA_360 	 objective
NA_8323 	 positive
NA_8706 	 negative
NA_7224 	 positive
NA_T15116657 	 negative
NA_T15112649 	 neutral
NA_7665 	 negative
NA_6396 	 objective
NA_8096 	 positive
NA_7145 	 positive
NA_T15116605 	 objective
NA_3337 	 objective
NA_T15114355 	 objective
NA_T15111731 	 negative
NA_T15116194 	 objective
NA_4254 	 objective
NA_6245 	 objective
NA_3225 	 positive
NA_4447 	 negative
NA_T15113725 	 negative
NA_6776 	 negative
NA_3106 	 objective
NA_T15113789 	 positive
NA_7286 	 objective
NA_4373 	 positive
NA_T15113633 	 objective
NA_3816 	 positive
NA_329 	 neutral
NA_3473 	 negative
NA_T15113120 	 positive
NA_1663 	 neutral
NA_8589 	 objective
NA_4022 	 positive
NA_T15115967 	 objective
NA_1607 	 negative
NA_7339 	 negative
NA_8410 	 objective
NA_4437 	 negative
NA_7142 	 objective
NA_2721 	 negative
NA_8346 	 objective
NA_1563 	 negative
NA_8648 	 neutral
NA_T15112703 	 objective
NA_T15116153 	 objective
NA_T15116510 	 negative
NA_2672 	 positive
NA_2526 	 objective
NA_3989 	 positive
NA_1586 	 negative
NA_T15115658 	 positive
NA_915 	 positive
NA_5750 	 objective
NA_6603 	 objective
NA_3650 	 positive
NA_3639 	 negative
NA_3977 	 negative
NA_8091 	 objective
NA_T15114368 	 positive
NA_T15112437 	 positive
NA_6931 	 objective
NA_T15116393 	 positive
NA_536 	 negative
NA_7860 	 positive
NA_T15115484 	 objective
NA_4912 	 objective
NA_T15112992 	 negative
NA_64 	 positive
NA_8285 	 positive
NA_1855 	 objective
NA_8615 	 objective
NA_7632 	 positive
NA_4986 	 positive
NA_4340 	 positive
NA_1225 	 positive
NA_3184 	 positive
NA_4657 	 negative
NA_1764 	 negative
NA_T15112611 	 positive
NA_139 	 negative
NA_3485 	 positive
NA_5120 	 neutral
NA_7759 	 objective
NA_4124 	 negative
NA_8852 	 neutral
NA_6898 	 positive
NA_7676 	 neutral
NA_T15111204 	 objective
NA_1157 	 negative
NA_6869 	 negative
NA_T15113122 	 positive
NA_7264 	 positive
NA_7361 	 negative
NA_6151 	 negative
NA_7292 	 neutral
NA_8906 	 positive
NA_5077 	 positive
NA_214 	 objective
NA_2045 	 positive
NA_7405 	 objective
NA_T15113626 	 positive
NA_5438 	 negative
NA_T15116368 	 neutral
NA_T15112795 	 objective
NA_T15114563 	 objective
NA_1412 	 neutral
NA_5996 	 objective
NA_7658 	 objective
NA_T15114275 	 objective
NA_629 	 objective
NA_5103 	 objective
NA_3253 	 objective
NA_278 	 neutral
NA_6327 	 positive
NA_2005 	 positive
NA_7064 	 positive
NA_T15114586 	 positive
NA_T15113989 	 neutral
NA_8813 	 negative
NA_T15111353 	 objective
NA_T15116010 	 positive
NA_T15115198 	 neutral
NA_1495 	 positive
NA_4991 	 negative
NA_5674 	 objective
NA_T15112755 	 positive
NA_T15113087 	 neutral
NA_T15111999 	 negative
NA_7001 	 positive
NA_7792 	 positive
NA_T15114332 	 positive
NA_6276 	 negative
NA_2932 	 objective
NA_3367 	 negative
NA_T15113430 	 objective
NA_T15114547 	 objective
NA_3613 	 negative
NA_1019 	 objective
NA_3211 	 objective
NA_5398 	 positive
NA_1236 	 positive
NA_7223 	 objective
NA_T15115807 	 objective
NA_3982 	 objective
NA_4542 	 negative
NA_T15114122 	 positive
NA_7544 	 objective
NA_6069 	 positive
NA_6173 	 objective
NA_T15111140 	 negative
NA_5949 	 positive
NA_8119 	 objective
NA_8967 	 neutral
NA_5209 	 neutral
NA_1115 	 objective
NA_8336 	 positive
NA_2856 	 positive
NA_T15116173 	 negative
NA_T15112586 	 objective
NA_7348 	 positive
NA_933 	 negative
NA_4992 	 negative
NA_4316 	 positive
NA_1915 	 negative
NA_T15115882 	 positive
NA_749 	 positive
NA_T15114516 	 positive
NA_8545 	 positive
NA_7402 	 objective
NA_6735 	 objective
NA_8047 	 positive
NA_7070 	 positive
NA_2507 	 positive
NA_7254 	 negative
NA_928 	 negative
NA_5847 	 neutral
NA_T15115226 	 neutral
NA_T15115567 	 positive
NA_1968 	 objective
NA_7670 	 neutral
NA_428 	 neutral
NA_6370 	 objective
NA_8248 	 positive
NA_7696 	 positive
NA_5442 	 positive
NA_7119 	 objective
NA_T15115739 	 positive
NA_2238 	 objective
NA_T15113578 	 objective
NA_4932 	 negative
NA_8833 	 neutral
NA_584 	 positive
NA_7554 	 objective
NA_724 	 neutral
NA_3259 	 positive
NA_1697 	 negative
NA_2164 	 positive
NA_T15111873 	 neutral
NA_2599 	 objective
NA_T15113865 	 negative
NA_7889 	 objective
NA_3583 	 objective
NA_5430 	 positive
NA_T15114552 	 objective
NA_6595 	 positive
NA_8770 	 positive
NA_5520 	 objective
NA_8074 	 neutral
NA_5189 	 neutral
NA_3826 	 positive
NA_676 	 objective
NA_6637 	 positive
NA_5992 	 neutral
NA_5441 	 positive
NA_881 	 objective
NA_T15116695 	 positive
NA_729 	 objective
NA_6569 	 neutral
NA_4745 	 objective
NA_5514 	 neutral
NA_5885 	 positive
NA_1970 	 positive
NA_4091 	 positive
NA_8026 	 positive
NA_16 	 objective
NA_5854 	 objective
NA_6651 	 negative
NA_2681 	 objective
NA_6660 	 neutral
NA_7262 	 neutral
NA_4157 	 negative
NA_3033 	 positive
NA_T15111416 	 neutral
NA_T15112488 	 objective
NA_725 	 positive
NA_8676 	 positive
NA_2826 	 objective
NA_8369 	 objective
NA_T15112641 	 objective
NA_T15111998 	 neutral
NA_6331 	 objective
NA_2505 	 objective
NA_3158 	 positive
NA_4770 	 objective
NA_4846 	 negative
NA_154 	 positive
NA_1209 	 neutral
NA_T15116502 	 positive
NA_929 	 negative
NA_7280 	 negative
NA_133 	 objective
NA_T15116082 	 negative
NA_6819 	 positive
NA_7773 	 neutral
NA_6237 	 objective
NA_5827 	 neutral
NA_T15114010 	 objective
NA_6293 	 objective
NA_5133 	 positive
NA_4595 	 objective
NA_6117 	 objective
NA_2993 	 positive
NA_8331 	 positive
NA_744 	 objective
NA_T15115268 	 neutral
NA_1539 	 objective
NA_5464 	 negative
NA_5380 	 objective
NA_1513 	 positive
NA_3604 	 negative
NA_7121 	 positive
NA_7885 	 negative
NA_1300 	 negative
NA_2330 	 positive
NA_T15116121 	 negative
NA_6832 	 objective
NA_T15114203 	 positive
NA_7924 	 objective
NA_4823 	 objective
NA_T15113203 	 neutral
NA_4057 	 negative
NA_2300 	 positive
NA_3425 	 positive
NA_3057 	 positive
NA_T15115528 	 positive
NA_T15114047 	 positive
NA_1973 	 positive
NA_7349 	 objective
NA_1 	 positive
NA_6906 	 neutral
NA_5737 	 neutral
NA_6593 	 negative
NA_T15115406 	 neutral
NA_6743 	 positive
NA_3232 	 negative
NA_2057 	 negative
NA_2150 	 positive
NA_7928 	 positive
NA_6287 	 objective
NA_5453 	 positive
NA_2498 	 objective
NA_7051 	 objective
NA_6339 	 positive
NA_2760 	 neutral
NA_T15112490 	 neutral
NA_3704 	 objective
NA_1442 	 positive
NA_6089 	 objective
NA_T15116352 	 positive
NA_2025 	 positive
NA_2941 	 neutral
NA_6403 	 positive
NA_4780 	 positive
NA_7253 	 negative
NA_6854 	 positive
NA_4588 	 negative
NA_T15112071 	 objective
NA_T15114221 	 positive
NA_7091 	 objective
NA_2243 	 objective
NA_T15115742 	 positive
NA_T15116296 	 positive
NA_510 	 neutral
NA_5564 	 neutral
NA_T15116032 	 positive
NA_2116 	 positive
NA_T15114277 	 objective
NA_382 	 neutral
NA_96 	 objective
NA_4512 	 objective
NA_5703 	 positive
NA_8413 	 positive
NA_7873 	 positive
NA_7747 	 objective
NA_1927 	 negative
NA_8007 	 positive
NA_5397 	 objective
NA_4967 	 objective
NA_T15111993 	 objective
NA_T15112001 	 positive
NA_6354 	 negative
NA_7229 	 positive
NA_T15113997 	 negative
NA_T15114383 	 neutral
NA_8258 	 objective
NA_6650 	 positive
NA_T15112025 	 objective
NA_2580 	 positive
NA_7552 	 positive
NA_8178 	 positive
NA_T15113292 	 neutral
NA_4696 	 neutral
NA_8801 	 positive
NA_3980 	 positive
NA_996 	 negative
NA_3437 	 positive
NA_7143 	 positive
NA_1186 	 positive
NA_5481 	 positive
NA_2289 	 positive
NA_T15112239 	 objective
NA_T15112467 	 objective
NA_5556 	 objective
NA_1175 	 objective
NA_7871 	 positive
NA_T15115147 	 neutral
NA_T15116724 	 positive
NA_T15112812 	 objective
NA_T15115688 	 neutral
NA_823 	 positive
NA_T15115348 	 positive
NA_T15115161 	 positive
NA_T15112053 	 objective
NA_T15116478 	 positive
NA_T15111441 	 positive
NA_8932 	 negative
NA_1045 	 neutral
NA_8102 	 positive
NA_6929 	 positive
NA_516 	 positive
NA_340 	 positive
NA_384 	 neutral
NA_1665 	 positive
NA_4335 	 neutral
NA_T15114999 	 objective
NA_7077 	 positive
NA_224 	 positive
NA_T15111741 	 positive
NA_4414 	 positive
NA_2474 	 positive
NA_7624 	 positive
NA_T15111665 	 objective
NA_2387 	 positive
NA_4960 	 objective
NA_T15114335 	 objective
NA_T15116187 	 positive
NA_2006 	 objective
NA_5284 	 negative
NA_5976 	 positive
NA_8950 	 positive
NA_6752 	 positive
NA_587 	 positive
NA_3794 	 positive
NA_6380 	 negative
NA_111 	 positive
NA_1437 	 positive
NA_T15112102 	 positive
NA_T15112325 	 negative
NA_8174 	 positive
NA_6892 	 negative
NA_8975 	 negative
NA_6540 	 negative
NA_T15115138 	 positive
NA_T15114054 	 objective
NA_7445 	 positive
NA_4968 	 objective
NA_1852 	 positive
NA_T15114151 	 positive
NA_7167 	 objective
NA_7239 	 positive
NA_T15116597 	 objective
NA_948 	 neutral
NA_3112 	 positive
NA_5926 	 negative
NA_1454 	 positive
NA_T15111917 	 positive
NA_4571 	 positive
NA_8853 	 objective
NA_T15116125 	 negative
NA_6478 	 neutral
NA_3191 	 positive
NA_2061 	 neutral
NA_2204 	 positive
NA_T15111660 	 positive
NA_T15111139 	 objective
NA_2503 	 objective
NA_4027 	 positive
NA_1042 	 objective
NA_8425 	 positive
NA_7078 	 negative
NA_T15111423 	 positive
NA_1070 	 objective
NA_2550 	 neutral
NA_1808 	 negative
NA_8723 	 positive
NA_5030 	 objective
NA_371 	 positive
NA_6779 	 negative
NA_2022 	 negative
NA_4348 	 neutral
NA_2547 	 positive
NA_T15115357 	 neutral
NA_7997 	 objective
NA_T15111282 	 objective
NA_4925 	 negative
NA_T15112843 	 positive
NA_4143 	 positive
NA_6513 	 objective
NA_7770 	 neutral
NA_8540 	 positive
NA_T15112676 	 objective
NA_8523 	 positive
NA_8366 	 positive
NA_4141 	 positive
NA_T15113208 	 neutral
NA_717 	 positive
NA_527 	 objective
NA_4851 	 negative
NA_T15114243 	 positive
NA_4536 	 positive
NA_3848 	 positive
NA_6055 	 negative
NA_489 	 positive
NA_4746 	 neutral
NA_T15114184 	 positive
NA_4997 	 objective
NA_732 	 positive
NA_7990 	 objective
NA_553 	 negative
NA_5451 	 positive
NA_3688 	 objective
NA_395 	 neutral
NA_T15114104 	 objective
NA_8295 	 neutral
NA_1678 	 objective
NA_2122 	 neutral
NA_5697 	 objective
NA_7170 	 objective
NA_T15113026 	 positive
NA_6792 	 objective
NA_7466 	 negative
NA_T15114470 	 neutral
NA_T15116256 	 positive
NA_4242 	 objective
NA_6196 	 negative
NA_T15114094 	 negative
NA_6362 	 positive
NA_1886 	 neutral
NA_7550 	 positive
NA_3040 	 objective
NA_167 	 positive
NA_219 	 positive
NA_6017 	 objective
NA_2108 	 positive
NA_1733 	 positive
NA_456 	 neutral
NA_T15111943 	 positive
NA_6837 	 negative
NA_T15114976 	 positive
NA_T15113224 	 objective
NA_7421 	 positive
NA_T15112433 	 neutral
NA_8551 	 positive
NA_5911 	 positive
NA_T15112475 	 positive
NA_8412 	 objective
NA_3914 	 positive
NA_3364 	 neutral
NA_8749 	 objective
NA_1329 	 objective
NA_6936 	 positive
NA_T15114175 	 objective
NA_1208 	 neutral
NA_8668 	 objective
NA_1811 	 neutral
NA_T15116610 	 objective
NA_6411 	 neutral
NA_T15115037 	 positive
NA_4905 	 positive
NA_5392 	 positive
NA_1851 	 neutral
NA_T15111360 	 neutral
NA_3955 	 negative
NA_209 	 positive
NA_T15115695 	 objective
NA_6676 	 positive
NA_5076 	 objective
NA_3296 	 objective
NA_8042 	 positive
NA_6214 	 negative
NA_8465 	 positive
NA_7236 	 positive
NA_876 	 neutral
NA_2109 	 negative
NA_T15116033 	 positive
NA_4972 	 positive
NA_4355 	 positive
NA_7481 	 positive
NA_1792 	 positive
NA_2733 	 positive
NA_352 	 negative
NA_3733 	 positive
NA_1859 	 positive
NA_8831 	 negative
NA_1553 	 positive
NA_8762 	 objective
NA_2102 	 neutral
NA_5364 	 positive
NA_898 	 neutral
NA_6279 	 positive
NA_407 	 positive
NA_T15116182 	 objective
NA_3151 	 positive
NA_3944 	 positive
NA_3505 	 positive
NA_6626 	 neutral
NA_4255 	 positive
NA_3663 	 positive
NA_4739 	 objective
NA_1609 	 objective
NA_5178 	 positive
NA_5874 	 positive
NA_5015 	 negative
NA_115 	 positive
NA_1532 	 positive
NA_T15116550 	 objective
NA_7906 	 positive
NA_7257 	 positive
NA_8467 	 objective
NA_7433 	 positive
NA_642 	 positive
NA_7434 	 positive
NA_2934 	 objective
NA_5589 	 objective
NA_7424 	 objective
NA_3900 	 objective
NA_T15111387 	 neutral
NA_T15112687 	 objective
NA_6229 	 positive
NA_T15113815 	 positive
NA_4735 	 positive
NA_362 	 neutral
NA_7408 	 positive
NA_6901 	 neutral
NA_8586 	 positive
NA_T15111879 	 neutral
NA_955 	 neutral
NA_5246 	 objective
NA_7043 	 positive
NA_7699 	 neutral
NA_2002 	 neutral
NA_5663 	 objective
NA_4727 	 positive
NA_1029 	 negative
NA_1698 	 positive
NA_7641 	 neutral
NA_5137 	 negative
NA_6927 	 objective
NA_4425 	 positive
NA_447 	 objective
NA_7986 	 positive
NA_4708 	 positive
NA_2842 	 neutral
NA_5519 	 objective
NA_6508 	 objective
NA_7587 	 objective
NA_T15114380 	 positive
NA_T15112183 	 negative
NA_T15114296 	 neutral
NA_6205 	 negative
NA_5440 	 objective
NA_6500 	 objective
NA_6547 	 neutral
NA_8688 	 positive
NA_2209 	 objective
NA_T15113434 	 positive
NA_8954 	 objective
NA_T15114783 	 objective
NA_2886 	 negative
NA_6989 	 objective
NA_8168 	 positive
NA_T15112242 	 positive
NA_T15115265 	 neutral
NA_8453 	 objective
NA_1466 	 negative
NA_7276 	 positive
NA_7407 	 objective
NA_T15115273 	 objective
NA_T15113436 	 positive
NA_T15115950 	 objective
NA_7226 	 objective
NA_1640 	 neutral
NA_8480 	 negative
NA_T15116024 	 objective
NA_4403 	 negative
NA_8284 	 negative
NA_3520 	 objective
NA_T15112161 	 objective
NA_2295 	 positive
NA_T15114027 	 positive
NA_1597 	 positive
NA_1841 	 negative
NA_8361 	 positive
NA_291 	 objective
NA_390 	 positive
NA_T15113230 	 objective
NA_3953 	 neutral
NA_8352 	 objective
NA_T15111940 	 objective
NA_5536 	 objective
NA_1270 	 objective
NA_7996 	 positive
NA_3399 	 positive
NA_1415 	 positive
NA_5311 	 positive
NA_2258 	 negative
NA_3649 	 objective
NA_3831 	 positive
NA_6305 	 positive
NA_6460 	 positive
NA_7241 	 objective
NA_2600 	 positive
NA_1589 	 positive
NA_6738 	 objective
NA_1565 	 objective
NA_6150 	 positive
NA_8297 	 positive
NA_T15114553 	 positive
NA_2914 	 objective
NA_T15111646 	 positive
NA_3750 	 positive
NA_T15114721 	 objective
NA_3723 	 neutral
NA_4012 	 negative
NA_8302 	 positive
NA_1122 	 negative
NA_1361 	 objective
NA_6474 	 positive
NA_T15115704 	 positive
NA_5683 	 positive
NA_4284 	 negative
NA_T15116594 	 objective
NA_4911 	 objective
NA_6694 	 positive
NA_T15112627 	 positive
NA_4214 	 positive
NA_8123 	 positive
NA_6167 	 neutral
NA_5080 	 neutral
NA_5975 	 positive
NA_3352 	 objective
NA_T15116707 	 negative
NA_1982 	 neutral
NA_8268 	 objective
NA_1031 	 positive
NA_3696 	 positive
NA_303 	 objective
NA_T15111464 	 positive
NA_T15116285 	 positive
NA_8265 	 positive
NA_T15111192 	 positive
NA_4749 	 objective
NA_7828 	 neutral
NA_T15111203 	 objective
NA_6687 	 objective
NA_T15111215 	 positive
NA_T15112257 	 objective
NA_T15114024 	 negative
NA_595 	 objective
NA_4528 	 positive
NA_T15114764 	 objective
NA_1069 	 positive
NA_3153 	 positive
NA_T15114622 	 negative
NA_53 	 negative
NA_7808 	 objective
NA_T15114884 	 neutral
NA_T15111346 	 objective
NA_T15114925 	 positive
NA_T15116304 	 objective
NA_6765 	 positive
NA_2182 	 objective
NA_8182 	 positive
NA_1265 	 positive
NA_T15114371 	 objective
NA_4115 	 objective
NA_339 	 neutral
NA_368 	 positive
NA_652 	 positive
NA_3853 	 objective
NA_T15111560 	 positive
NA_T15114168 	 positive
NA_5670 	 positive
NA_6425 	 positive
NA_6243 	 objective
NA_1335 	 negative
NA_2451 	 positive
NA_7369 	 negative
NA_2849 	 objective
NA_332 	 objective
NA_1167 	 positive
NA_2989 	 positive
NA_1517 	 objective
NA_1624 	 neutral
NA_5712 	 positive
NA_2928 	 negative
NA_246 	 positive
NA_T15113796 	 negative
NA_T15116686 	 positive
NA_7235 	 objective
NA_357 	 neutral
NA_3127 	 objective
NA_2969 	 neutral
NA_5459 	 objective
NA_294 	 positive
NA_223 	 objective
NA_1703 	 positive
NA_3009 	 neutral
NA_378 	 objective
NA_2904 	 positive
NA_T15111404 	 neutral
NA_8887 	 positive
NA_5190 	 objective
NA_700 	 negative
NA_T15115572 	 objective
NA_1967 	 neutral
NA_T15113812 	 neutral
NA_4515 	 neutral
NA_T15114037 	 objective
NA_3144 	 positive
NA_T15116475 	 positive
NA_4685 	 positive
NA_T15113794 	 positive
NA_6707 	 objective
NA_1183 	 neutral
NA_1944 	 positive
NA_492 	 objective
NA_3017 	 objective
NA_5823 	 negative
NA_3185 	 positive
NA_6997 	 neutral
NA_6865 	 negative
NA_7778 	 neutral
NA_6526 	 objective
NA_5277 	 positive
NA_3657 	 neutral
NA_212 	 neutral
NA_4556 	 positive
NA_3883 	 negative
NA_4752 	 positive
NA_3892 	 negative
NA_1840 	 neutral
NA_688 	 objective
NA_7923 	 objective
NA_4304 	 objective
NA_47 	 objective
NA_6032 	 negative
NA_5261 	 objective
NA_T15113241 	 positive
NA_T15114877 	 objective
NA_7706 	 positive
NA_8823 	 negative
NA_T15113332 	 objective
NA_3360 	 negative
NA_T15114819 	 positive
NA_2604 	 neutral
NA_658 	 negative
NA_T15115061 	 objective
NA_3517 	 positive
NA_2736 	 negative
NA_4705 	 positive
NA_3718 	 objective
NA_2162 	 negative
NA_8825 	 objective
NA_1383 	 positive
NA_7341 	 positive
NA_2496 	 objective
NA_8098 	 neutral
NA_6010 	 neutral
NA_6191 	 objective
NA_5956 	 negative
NA_3866 	 positive
NA_6437 	 objective
NA_6456 	 positive
NA_7538 	 negative
NA_T15115877 	 neutral
NA_T15112568 	 neutral
NA_T15114739 	 positive
NA_T15113288 	 objective
NA_T15113471 	 positive
NA_4031 	 neutral
NA_7905 	 positive
NA_8864 	 positive
NA_593 	 neutral
NA_1818 	 objective
NA_4103 	 positive
NA_T15113198 	 objective
NA_2200 	 objective
NA_8262 	 positive
NA_3754 	 positive
NA_T15111986 	 objective
NA_4429 	 negative
NA_3298 	 positive
NA_8593 	 objective
NA_1475 	 negative
NA_186 	 positive
NA_T15112366 	 positive
NA_T15114624 	 negative
NA_2866 	 objective
NA_T15114396 	 positive
NA_6991 	 positive
NA_1990 	 positive
NA_T15111209 	 negative
NA_2311 	 objective
NA_T15115481 	 negative
NA_T15112751 	 objective
NA_7113 	 positive
NA_T15113990 	 objective
NA_T15115976 	 positive
NA_T15115712 	 neutral
NA_8046 	 objective
NA_7 	 negative
NA_7060 	 positive
NA_3105 	 objective
NA_750 	 neutral
NA_4501 	 positive
NA_4084 	 objective
NA_5666 	 objective
NA_2198 	 positive
NA_426 	 negative
NA_4265 	 positive
NA_3094 	 negative
NA_1354 	 neutral
NA_7956 	 positive
NA_6438 	 objective
NA_8114 	 positive
NA_T15114974 	 positive
NA_T15115556 	 objective
NA_T15114424 	 neutral
NA_3188 	 objective
NA_1599 	 positive
NA_2215 	 positive
NA_3910 	 objective
NA_2065 	 neutral
NA_1856 	 positive
NA_8389 	 positive
NA_8569 	 neutral
NA_2414 	 objective
NA_1215 	 neutral
NA_2082 	 positive
NA_2279 	 positive
NA_7196 	 neutral
NA_4824 	 objective
NA_6025 	 objective
NA_8320 	 negative
NA_7195 	 positive
NA_T15114453 	 positive
NA_7419 	 objective
NA_8241 	 neutral
NA_7418 	 positive
NA_991 	 neutral
NA_6080 	 positive
NA_T15111381 	 positive
NA_6158 	 objective
NA_T15113535 	 positive
NA_8231 	 positive
NA_3236 	 negative
NA_T15111760 	 positive
NA_5942 	 positive
NA_1884 	 neutral
NA_3101 	 neutral
NA_2036 	 negative
NA_7720 	 negative
NA_6005 	 neutral
NA_6111 	 positive
NA_5383 	 objective
NA_6031 	 objective
NA_1321 	 neutral
NA_T15114537 	 objective
NA_4669 	 objective
NA_8632 	 positive
NA_T15115638 	 neutral
NA_5812 	 positive
NA_102 	 negative
NA_4249 	 neutral
NA_6100 	 positive
NA_4712 	 positive
NA_T15112609 	 negative
NA_633 	 positive
NA_4277 	 objective
NA_7846 	 neutral
NA_8679 	 negative
NA_1288 	 neutral
NA_1000 	 positive
NA_6318 	 neutral
NA_1911 	 neutral
NA_7343 	 objective
NA_5850 	 positive
NA_3825 	 negative
NA_T15113352 	 positive
NA_6858 	 objective
NA_4921 	 positive
NA_7285 	 positive
NA_T15111504 	 objective
NA_7234 	 neutral
NA_T15112727 	 positive
NA_705 	 objective
NA_6519 	 neutral
NA_6580 	 objective
NA_8587 	 objective
NA_T15112910 	 negative
NA_T15115303 	 positive
NA_T15115188 	 negative
NA_1825 	 negative
NA_1488 	 neutral
NA_5960 	 objective
NA_2467 	 objective
NA_T15116409 	 neutral
NA_6289 	 objective
NA_5690 	 objective
NA_4119 	 positive
NA_T15115350 	 neutral
NA_T15112713 	 positive
NA_4197 	 positive
NA_T15116139 	 positive
NA_2755 	 neutral
NA_181 	 objective
NA_3614 	 neutral
NA_6644 	 neutral
NA_4332 	 positive
NA_862 	 positive
NA_7269 	 neutral
NA_1570 	 neutral
NA_T15114724 	 objective
NA_2851 	 positive
NA_T15111668 	 negative
NA_T15113408 	 negative
NA_2169 	 positive
NA_5314 	 negative
NA_5136 	 neutral
NA_T15113334 	 neutral
NA_4897 	 negative
NA_3632 	 neutral
NA_6299 	 positive
NA_3238 	 positive
NA_4419 	 positive
NA_248 	 positive
NA_T15115070 	 positive
NA_T15115184 	 positive
NA_4489 	 positive
NA_3671 	 negative
NA_3537 	 objective
NA_484 	 objective
